Company,Info,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,
Mindtree,"Mindtree is a global technology consulting and services company founded in 1999 by a group of IT professionals, including Subroto Bagchi and others, with its headquarters in Bangalore, India. Mindtree offers a wide range of services, including IT consulting, digital transformation, cloud computing, data analytics, artificial intelligence, and enterprise resource planning (ERP) solutions. The company serves various industries, including banking, financial services, retail, manufacturing, and healthcare. Known for its agile approach and innovative solutions, Mindtree focuses on delivering customer-centric services that drive business growth. In 2019, Mindtree became a part of the Larsen & Toubro (L&T) Group, which further strengthened its capabilities and global reach. Mindtree operates in over 20 countries and is recognized for its strong commitment to sustainability and corporate social responsibility.","Written test: An online test that may include aptitude, logical reasoning, verbal ability, and coding sections",Technical interview: A technical interview round,HR interview: An HR interview round,,,,
Renault Nissan,"Renault-Nissan-Mitsubishi Alliance is a strategic partnership between three global automotive manufacturers: Renault (France), Nissan (Japan), and Mitsubishi Motors (Japan). The alliance was formed in 1999, primarily driven by the vision of Carlos Ghosn, who was instrumental in creating a cooperative framework for the three companies to share resources, technologies, and costs while maintaining their individual identities. The collaboration focuses on mutual benefits such as research and development, vehicle production, and purchasing. The Alliance has enabled the companies to create a wide range of innovative vehicles, from electric cars like the Nissan Leaf to cutting-edge autonomous driving technologies. Today, the Renault-Nissan-Mitsubishi Alliance operates in more than 200 countries, making it one of the largest automotive groups in the world.","Online test: A 60-minute test with 50 questions on topics like computer fundamentals, Java, C++, and aptitude","Technical HR: A 50-minute round that covers topics like projects, SQL, DBMS, Java, and DSA","General HR: A 20-minute round that covers topics like project communication, strengths/weaknesses, goals, and confidence",,,,
Virtusa,"Virtusa Corporation is a global IT services and consulting company founded in 1996 by Dr. Kris Canekeratne and others, with its headquarters located in Southborough, Massachusetts, USA. Virtusa provides a range of services, including IT consulting, digital transformation, software engineering, cloud computing, artificial intelligence, data analytics, and enterprise solutions. The company serves various industries, including banking, financial services, healthcare, telecommunications, and retail. Virtusa is known for its expertise in helping organizations accelerate their digital journey by delivering innovative and efficient solutions. With a global presence in over 25 countries, Virtusa is recognized for its focus on quality, customer satisfaction, and fostering long-term client relationships.","Online assessment: This round includes an aptitude section, web and technical section, verbal ability and communication, and two coding rounds. The time limit for this round is usually three hours.","Technical interview: This round is usually a one-to-one interview that assesses the candidate's technical knowledge and proficiency in areas like programming languages, database technologies, and software development methodologies.","Group discussion: This round can sometimes be skipped. In this round, a team of 10 members is given a topic to discuss for at least five minutes.",HR interview: This round focuses on behavioral and personality traits to determine if the candidate is compatible with the organization's culture and values.,,,
ATOS,"Atos is a multinational IT services and consulting company founded in 1997 and headquartered in Bezons, France. The company offers a wide range of services including IT consulting, cloud computing, digital transformation, cybersecurity, data analytics, and managed services. Atos serves industries such as financial services, healthcare, manufacturing, and public sector organizations. The company is known for its expertise in providing end-to-end digital solutions, helping businesses enhance efficiency, innovation, and customer experience. Atos is a leader in sustainable digital transformation, with a strong focus on delivering solutions that support energy efficiency and environmental sustainability. It has a global presence, with operations in over 70 countries, and is recognized as one of the major players in the IT services sector.","Aptitude test: This round may include verbal, non-verbal, technical, and general aptitude questions.","Coding test: This round may include questions on the basics of Python, strings, and loops",Technical round: This round may include questions on technologies mentioned in the candidate CV.,Public speaking: This round may include a topic for the candidate to speak on for 4–5 minutes.,HR round: This round may include a single question.,,
Birlasoft,"Birlasoft is a global IT services and consulting company, founded in 1995 and headquartered in Noida, India. It is a part of the CK Birla Group, a leading conglomerate in India. Birlasoft provides a wide range of services including IT consulting, software development, cloud solutions, digital transformation, data analytics, and enterprise resource planning (ERP) solutions. The company serves a variety of industries, including manufacturing, banking, financial services, healthcare, and retail. Birlasoft is known for its expertise in delivering innovative solutions that help businesses enhance efficiency and drive growth. With a global presence in North America, Europe, and Asia, Birlasoft focuses on leveraging emerging technologies like AI, machine learning, and automation to meet the evolving needs of its clients.",Communication: A round that may assess communication skills,"Technical: A round that may include technical interview questions, such as basic DSA questions, coding questions, or ML/data science questions",HR: A round that may be the final round of the interview process,,,,
GND Solutions,"GND Solutions is a technology services and consulting company that specializes in providing IT solutions across various industries. The company offers services such as software development, IT consulting, cloud computing, cybersecurity, and data analytics. GND Solutions focuses on delivering innovative solutions that help businesses optimize their operations, enhance customer experiences, and drive digital transformation. With a commitment to leveraging emerging technologies like artificial intelligence, machine learning, and automation, GND Solutions aims to meet the unique needs of its clients. While specific details about its founding and headquarters may vary, the company is known for its customer-centric approach and expertise in solving complex business challenges.","Interview rounds: The interview process for GND Solutions may include a managerial round, technical round, DevOps engineer round, lead data engineer round, and director of analytics round.","Document submission: After the interview rounds, the candidate may be asked to submit documents.","Feedback: After the documents are submitted, the candidate may be informed that the panel is not providing feedback.","Follow-up: After two weeks of document submission, the candidate may receive a follow-up from the lead talent acquisition partner.",,,
NTT Data,"NTT Data is a global IT service provider and consulting company, founded in 1988 as a subsidiary of the Japanese telecommunications giant NTT (Nippon Telegraph and Telephone Corporation). Headquartered in Tokyo, Japan, NTT Data offers a wide range of services, including IT consulting, cloud computing, digital transformation, application development, and systems integration. The company serves various industries, including banking, healthcare, manufacturing, telecommunications, and public sector organizations. NTT Data is known for its strong focus on innovation, customer-centric solutions, and leveraging emerging technologies such as artificial intelligence, big data, and cybersecurity. With a presence in over 50 countries, NTT Data is recognized as one of the leading IT services providers globally, helping organizations optimize their business operations and navigate the challenges of digital transformation.",Written Aptitude Round: This round includes aptitude questions and technical questions.,Group Discussion: This round may include discussion on current and general topics.,Technical Interview: This round may be a face-to-face interview with one interviewer.,HR Interview: This round may include technical questions and HR questions.,,,
Goldman Sachs,"Goldman Sachs is a leading global investment banking, securities, and investment management firm, founded in 1869 by Marcus Goldman in New York City. The company provides a wide range of financial services, including mergers and acquisitions (M&A) advisory, asset management, securities trading, investment banking, and private equity. Goldman Sachs serves a diverse client base, including corporations, financial institutions, governments, and individuals. Known for its expertise in financial markets, Goldman Sachs is recognized for its strong presence in investment banking and its role in major financial transactions globally. The company is also known for its commitment to innovation in financial services, leveraging advanced technologies like artificial intelligence and machine learning to enhance decision-making and investment strategies. With a global presence, Goldman Sachs continues to be one of the most influential and prestigious firms in the financial industry.",Aptitude test: A round for freshers in engineering roles,HackerRank assessment: An assessment for engineering applicants,Coderpad round: A live coding round where the candidate shares their screen with the interviewer,Telephonic round: A round where the interviewer asks questions about the candidate's course or technologies from their resume,"Technical interview: A face-to-face interview where the interviewer asks questions about the candidate's projects, technologies, training, and internships",Technical + HR interview: A round for engineering roles,
Maventic,"Maventic is an IT consulting and services company that provides digital transformation solutions to businesses across various industries. The company specializes in cloud computing, data analytics, enterprise solutions, and custom software development, helping organizations improve efficiency, enhance customer experiences, and drive innovation. Maventic works with industries such as healthcare, finance, retail, and manufacturing to offer tailored technology solutions that meet specific business needs. With a focus on leveraging emerging technologies like artificial intelligence, automation, and machine learning, Maventic aims to help businesses navigate the evolving digital landscape. Although its specific founding details and global presence may vary, the company is known for its customer-centric approach and its ability to deliver impactful digital solutions.","Technical round: This round may include questions about both frontend and backend, such as how APIs work and writing code for APIs.",Aptitude test round: This round may include basic questions about logical and quantitative topics,"Coding test round: This round may include writing code for a specific task, such as a staircase of coins using an arraylist.",Offline coding written test: This round may be for shortlisted students.,,,
Deloitte,"Deloitte is one of the ""Big Four"" professional services firms, offering a wide range of services including audit, tax, consulting, risk advisory, and financial advisory. Founded in 1845 by William Welch Deloitte in London, the company has grown to become a global leader in professional services. Deloitte operates in over 150 countries, serving clients across industries such as financial services, healthcare, technology, energy, and government. The company is renowned for its expertise in helping businesses with digital transformation, strategy, mergers and acquisitions, and technology consulting, using advanced technologies like artificial intelligence, blockchain, and data analytics. Deloitte also provides cutting-edge solutions for cybersecurity, regulatory compliance, and risk management. The firm is known for its commitment to innovation and a client-centric approach, providing tailored solutions to address complex business challenges.","Online assessment: This is a screening test that includes psychometric tests such as numerical reasoning, verbal reasoning, and situational judgment. The Deloitte online assessment is also known as the Deloitte immersive online assessment.","Interview: The interview process can include a telephonic screening, a face-to-face interview, or a combination of both. The interview can be technical, a panel interview, or a case study interview. The interview may also include a group discussion.","Final interview: This interview is typically with a Director or Partner from the business area you applied to. This interview will discuss your experience and skills, and explore your potential career path at Deloitte.",,,,
Flipkart,"Flipkart is a leading Indian e-commerce company founded in 2007 by Sachin Bansal and Binny Bansal, both former Amazon employees. Headquartered in Bengaluru, India, Flipkart started as an online bookstore and later expanded into a wide range of product categories, including electronics, fashion, home goods, and groceries. Over the years, Flipkart has become one of the largest online retailers in India, offering a comprehensive shopping experience through its website and mobile apps. The company is known for its customer-centric approach, with services like easy returns, secure payment options, and quick delivery. Flipkart was acquired by Walmart in 2018, which has further strengthened its position in the Indian market. Flipkart is a key player in the rapidly growing Indian e-commerce industry and is committed to expanding its reach and improving its technological infrastructure to provide better services to its customers.","Online coding round: This round may be hosted on Hackerrank and includes a few coding questions. The questions may be based on topics like recursion, strings, trees, and graphs.","Technical interview: This round may include algorithmic problems based on data structures like graphs, matrices, and strings.","Machine coding round: In this round, candidates are given a problem and are expected to write a complete working code within a time limit.","Problem solving and data structures round: This round focuses on data structures and algorithms, and may include questions on topics like string manipulation, searching, sorting, and backtracking.",System design round: This round is only for senior positions and involves solving and discussing a design problem.,"HR round: This round may include questions about achievements, moments of pride, and instances of failure.",
Paypal,"PayPal is a global online payment platform founded in December 1998 by Max Levchin, Peter Thiel, and Luke Nosek under the name Confinity, later rebranded to PayPal in 2001. Headquartered in San Jose, California, PayPal enables individuals and businesses to make secure payments and money transfers online. It provides a digital wallet for storing payment methods, facilitating transactions for goods, services, and peer-to-peer transfers. PayPal has become a widely used solution for e-commerce, offering features like fraud protection, international payments, and integration with other financial services. As of today, PayPal operates in over 200 markets globally, supporting various currencies and serving millions of active users worldwide.","Online test: Usually conducted on Hackerrank, this round consists of two questions with 14 test cases each",Technical interview 1: This round lasts for an hour and consists of coding questions,"Technical interview 2: This round also lasts for an hour and consists of questions based on your resume, such as algorithms and data structures",Managerial round: This round lasts for about 45 minutes and consists of a mix of technical and behavioral questions,,,
TATA,"Tata Group is a multinational conglomerate headquartered in Mumbai, India, founded in 1868 by Jamsetji Tata. It operates in various sectors, including steel, automotive, telecommunications, information technology, consumer products, and energy. The group’s flagship companies include Tata Steel, Tata Motors, Tata Consultancy Services (TCS), and Tata Power, among others. Tata Group is known for its ethical business practices, commitment to social responsibility, and contribution to India's industrialization. The company has a significant global presence, with operations in more than 100 countries. Tata Group is recognized for its strong focus on sustainability, innovation, and building long-term value for its stakeholders.","Aptitude test: An online test with multiple choice questions that may include aptitude, logical reasoning, and technical questions","Technical round: A technical interview that may include questions about subnets, ping, and goals",Group discussion: A discussion on a range of topics,Coding test: A test that may ask how a product solved a client's problem,HR round: An interview with HR,Final interview: A face-to-face interaction with senior leaders,
Flextronics,"Flextronics, now known as Flex, is a global electronics manufacturing services (EMS) company founded in 1969 by Joe McKenzie in Silicon Valley, California. The company provides design, engineering, manufacturing, and supply chain solutions to a wide range of industries, including automotive, healthcare, consumer electronics, industrial, and telecommunications. Flex offers end-to-end services, from product concept and design to prototyping, manufacturing, and after-market support. The company is known for its innovation in electronics and advanced manufacturing technologies, such as automation, IoT, and digital transformation. With operations in over 30 countries, Flex is a key player in the global electronics supply chain, helping companies scale their products and achieve operational efficiency.","Aptitude test: This round may include questions on English, basic aptitude, and physics background.",Group discussion: The interviewer may provide a topic and ask each candidate to speak for a few minutes.,Coding test: This round may include questions based on string and prime numbers.,"Technical interview: This round may focus on projects done, area of interest, and technologies like Java, C, and SQL.","HR cum technical round: This round may include questions on projects, Java, and writing a program.",,
Tejas Frameworks,"Tejas Frameworks is a technology company specializing in providing solutions for digital transformation, IT consulting, and custom software development. The company focuses on helping organizations optimize their processes, improve efficiency, and adopt emerging technologies like cloud computing, artificial intelligence, and data analytics. Tejas Frameworks delivers tailored solutions to a wide range of industries, including healthcare, finance, retail, and manufacturing. By leveraging frameworks and tools for rapid application development and systems integration, the company aims to enhance business performance and support its clients in navigating the ever-evolving digital landscape. Though specific founding details may not be widely available, Tejas Frameworks is known for its commitment to innovation and customer satisfaction.","Online Assessment: MCQ-based Quantitative, Verbal, Reasoning, and Coding. The aptitude section had medium-level questions, Computer Science Concepts.",Technical Round 1: Questions ask about Data structure Algorithms and Computer Science Concepts.,Technical Round 2: Questions ask about Data Structures and Algorithms and Computer Science Concepts and Discussion on Projects in which technologies are used in detail.,"HR: Introduction, Discussion on Joining Date, Salary. Why are you interested in this job? What are your strengths? Where do you see yourself in the next 5 years? How do you handle stress, pressure, and anxiety?",,,
Quest,"Quest is a global technology solutions provider specializing in IT management, cybersecurity, data protection, and cloud solutions. Founded in 1987, Quest offers a wide range of software products and services designed to help businesses improve efficiency, security, and compliance. The company's offerings include database management, identity and access management, data backup and recovery, and endpoint security. Quest is known for providing tools that simplify IT operations, enhance productivity, and ensure the protection of critical data. With a strong focus on innovation and customer-centric solutions, Quest serves a variety of industries, including finance, healthcare, government, and technology. It has a global presence and is recognized for helping organizations address complex IT challenges effectively.",Resume shortlisting: The first round is usually a resume-based shortlisting.,"Aptitude test: The second round may include an aptitude test that assesses quantitative ability, verbal ability, logical reasoning, and domain-related topics.",Technical and HR interview: The third round is usually a technical and HR interview.,"Other rounds: Other rounds may include digital and Verilog Intermediate questions, basic core subjects and aptitude, and real-time scenarios and basic programming concepts.",,,
Volvo,"Volvo Group is a multinational manufacturing company founded in 1927 and headquartered in Gothenburg, Sweden. It is primarily known for producing heavy-duty vehicles, including trucks, buses, construction equipment, and marine and industrial engines. Volvo operates in various industries, including transportation, construction, and energy. The company is renowned for its commitment to safety, sustainability, and innovation, having pioneered many safety features in vehicles and focusing on reducing environmental impact through cleaner, energy-efficient technologies. Volvo’s brands include Volvo Trucks, Volvo Buses, Volvo Construction Equipment, and Volvo Penta. The company has a global presence and is recognized for its high-quality products and leadership in the commercial vehicle industry.",Online technical assessment: An online technical assessment may be part of the interview process,Technical: A technical round is a common part of the interview process,One-on-one: A one-on-one interview is a common part of the interview process,HR: An HR round is a common part of the interview process,Manager round: A manager round may be part of the interview process,,
Mallow Technologies Private Limited,"Mallow Technologies Private Limited is an Indian technology company that provides solutions in areas such as software development, IT consulting, digital transformation, and technology-driven business services. The company focuses on helping organizations leverage emerging technologies like cloud computing, data analytics, artificial intelligence, and automation to enhance operational efficiency and business performance. Mallow Technologies offers a range of services including custom software development, application maintenance, and IT infrastructure management. They cater to various industries, helping clients adopt innovative solutions to meet their business needs and stay competitive in the digital age. However, detailed information regarding the company's founding and specific projects may not be readily available.","Aptitude round: This round consists of 25 questions on quantitative aptitude, logical reasoning, and verbal.","Technical round: This round consists of two programming questions that can be written in C, C++, Java, or Python.",HR interview: This round consists of two questions.,,,,
KaarTech,"KaarTech (Kaar Technologies) is an Indian IT services company specializing in providing digital transformation solutions, ERP (Enterprise Resource Planning) consulting, and technology services. Founded in 2000, KaarTech is known for its expertise in implementing SAP solutions for businesses across various industries, including manufacturing, retail, automotive, and logistics. The company offers services such as SAP consulting, cloud solutions, business intelligence, data analytics, and managed services, helping organizations streamline their operations, improve efficiency, and enhance decision-making through innovative technologies. With a global presence and a strong focus on helping enterprises optimize their processes and adopt best practices, KaarTech is recognized for its customer-centric approach and commitment to delivering tailored solutions that drive business growth.","Round 1: An online test that may include multiple-choice questions (MCQs) on topics like Java, logical reasoning, verbal, and quantitative skills. The online test may be 60 minutes long.",Round 2: A group discussion.,Round 3: A technical interview that may include coding and questions about technical subjects.,Round 4: An HR interview.,,,
Revature,"Revature is a technology talent development and consulting company that focuses on training and deploying software engineers for leading companies across various industries. Founded in 2003, Revature specializes in providing large-scale, customized training programs that help individuals, particularly those with little to no prior experience in software development, acquire the skills needed to work in the tech industry. The company offers intensive training in areas such as software engineering, full-stack development, and data analytics, using both instructor-led and self-paced learning models. Revature partners with corporations to help meet their demand for skilled tech professionals by providing them with a pool of trained engineers. Through its innovative model, Revature has helped bridge the skills gap in the technology workforce, delivering a high volume of tech talent for its clients. With a focus on continuous learning and professional development, Revature has established itself as a prominent player in the talent development space for the tech industry.",Online assessment: The first step in the interview process is an online assessment.,"Technical screening: After passing the online assessment, the next step is a technical screening.","Client pre-selection: After the technical screening, the next step is client pre-selection.","Training: After the client pre-selection, the next step is training, which can last up to two months.","Client interview: After the training, the next step is a client interview.",,
Byjus,"Byju's is an Indian edtech company founded in 2011 by Byju Raveendran. It offers a wide range of learning programs and educational content for students from kindergarten to competitive exam preparation. Initially launched as a mobile app for learning, Byju's has expanded to provide personalized, interactive learning experiences through video lessons, quizzes, and adaptive learning paths. The company is known for its innovative approach to education, integrating technology with teaching methods to create engaging and effective learning experiences. Byju's covers subjects like math, science, coding, and even test preparation for exams like JEE, NEET, and UPSC. With a global presence, Byju's has become one of the largest and most successful edtech companies in the world, focusing on making learning accessible, engaging, and fun.","Aptitude test: A round that may include questions based on basics like math, chemistry, and physics.","Group discussion: A round where shortlisted candidates debate a topic of social, national, or global importance. The goal is to assess a candidate's self-assuredness, skill, and foresight.",Technical round: A round where candidates are asked questions about technical subjects.,One-on-one interview: A common round in the interview process.,HR round: A common round in the interview process.,,
Hero,"Hero MotoCorp is an Indian multinational motorcycle and scooter manufacturer, founded in 1984 as Hero Honda through a joint venture between the Hero Group and Honda. The company is headquartered in New Delhi, India, and is one of the largest manufacturers of motorcycles and scooters in the world. In 2011, Hero MotoCorp became an independent entity after Honda exited the joint venture. Hero is known for its affordable, fuel-efficient, and durable vehicles, with popular models such as the Hero Splendor, Hero HF Deluxe, and Hero Passion. The company offers a wide range of two-wheelers catering to different segments, from entry-level motorcycles to premium models. Hero MotoCorp has a strong presence in India and several other countries, and it is recognized for its commitment to innovation, sustainability, and community development. The company is also expanding its focus on electric vehicles, contributing to the global push for sustainable transportation.","Written test: This may include aptitude, core mechanical engineering, English, quantitative, and logical reasoning questions",Group discussion: This round may include a group elimination,"Interview: This round may include a combination of HR and technical questions. HR questions may include why you want to join the company, your future plans, and situation-based questions. Technical questions may be based on your favorite subject or other domains like metrology, material science, ED, and manufacturing processes.",,,,
Genpact,"Genpact is a global professional services firm that provides digital transformation, business process outsourcing (BPO), and technology solutions. Founded in 1997 as a subsidiary of General Electric (GE), it became an independent company in 2005. Headquartered in New York, Genpact operates across various industries including banking, finance, insurance, healthcare, consumer goods, and manufacturing. The company specializes in leveraging technology, artificial intelligence, automation, and analytics to optimize business processes and drive operational efficiency for its clients. Genpact offers a wide range of services including finance and accounting, supply chain management, customer service, and risk management. It is recognized for its expertise in transforming complex business operations, helping organizations enhance their productivity, reduce costs, and improve decision-making. With a global workforce and a strong emphasis on innovation, Genpact is considered a leader in the digital transformation and business services sectors.",Aptitude test: An online test that may be part of the interview process,Group discussion: A round that may be part of the interview process,Ops: The Operations Manager will assess your suitability for the process,Technical or HR interview: The final round of the interview process,,,
